                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0653,                0.50706,                 1.4604,                0.97642,                0.95184,                0.97862,                0.68119,                 1.1614,                0.41868,                 1.5959,               0.003268,               0.003268,               0.003268
                     36,                 1.0619,                0.50546,                 1.4554,                0.98055,                0.94934,                 0.9796,                0.68082,                 1.1567,                0.41663,                 1.5879,                0.00307,                0.00307,                0.00307
                     37,                  1.055,                0.49659,                 1.4537,                0.97693,                 0.9532,                0.97988,                0.68204,                 1.1522,                0.41322,                 1.5866,               0.002872,               0.002872,               0.002872
                     38,                 1.0517,                0.49171,                 1.4518,                0.97704,                0.95356,                0.98025,                0.68157,                  1.148,                0.41314,                 1.5845,               0.002674,               0.002674,               0.002674
                     39,                  1.045,                0.49146,                 1.4376,                0.97687,                 0.9545,                0.98025,                0.67989,                 1.1481,                0.41316,                 1.5825,               0.002476,               0.002476,               0.002476
                     40,                 1.0406,                0.48561,                  1.449,                0.97791,                0.95515,                0.98048,                0.68184,                 1.1457,                0.41176,                 1.5806,               0.002278,               0.002278,               0.002278
                     41,                 1.0333,                 0.4781,                  1.434,                0.97652,                0.95572,                0.98025,                0.68468,                 1.1445,                0.41092,                 1.5795,                0.00208,                0.00208,                0.00208
                     42,                 1.0256,                0.47255,                 1.4256,                0.97651,                 0.9555,                0.98034,                0.68465,                 1.1421,                0.40952,                 1.5763,               0.001882,               0.001882,               0.001882
                     43,                 1.0252,                0.47126,                 1.4285,                0.97697,                0.95499,                 0.9805,                0.68555,                 1.1404,                 0.4082,                 1.5753,               0.001684,               0.001684,               0.001684
                     44,                 1.0132,                0.46357,                 1.4218,                0.97805,                 0.9545,                0.98046,                0.68499,                 1.1406,                0.40736,                 1.5759,               0.001486,               0.001486,               0.001486
                     45,                 1.0118,                0.46243,                 1.4105,                0.97993,                0.95544,                0.98099,                0.68448,                   1.14,                0.40653,                 1.5753,               0.001288,               0.001288,               0.001288
                     46,                 1.0053,                0.45756,                 1.4106,                0.97948,                0.95544,                0.98107,                0.68591,                 1.1388,                0.40598,                 1.5739,                0.00109,                0.00109,                0.00109
                     47,                0.99778,                0.45407,                 1.4034,                0.97953,                0.95591,                0.98114,                0.68591,                 1.1387,                0.40553,                 1.5742,               0.000892,               0.000892,               0.000892
                     48,                0.99607,                0.45078,                 1.4028,                0.97934,                0.95628,                0.98121,                0.68623,                 1.1385,                0.40485,                 1.5743,               0.000694,               0.000694,               0.000694
                     49,                0.98683,                0.44807,                 1.3964,                 0.9802,                0.95685,                0.98168,                0.68597,                 1.1382,                0.40452,                  1.575,               0.000496,               0.000496,               0.000496
